State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Ichchapuram,1,ASHOK BENDALAM,Telugu Desam,79183,0,79183,46.56
Andhra Pradesh,Ichchapuram,2,ESWARA RAO KOLLI,Indian National Congress,2095,0,2095,1.23
Andhra Pradesh,Ichchapuram,3,JANNALA SURYAVARA PRASADA RAO,Bharatiya Janata Party,1651,0,1651,0.97
Andhra Pradesh,Ichchapuram,4,PIRIYA SAIRAJ,Yuvajana Sramika Rythu Congress Party,71752,0,71752,42.19
Andhra Pradesh,Ichchapuram,5,DASARI RAJU,Janasena Party,10918,0,10918,6.42
Andhra Pradesh,Ichchapuram,6,GANAPA VANAJAKSHI,Independent,610,0,610,0.36
Andhra Pradesh,Ichchapuram,7,NOTA,None of the Above,3861,0,3861,2.27
Andhra Pradesh,Amadalavalasa,1,KOONA RAVIKUMAR,Telugu Desam,63274,0,63274,42.72
Andhra Pradesh,Amadalavalasa,2,GADDAYYA PATINI,Bharatiya Janata Party,854,0,854,0.58
Andhra Pradesh,Amadalavalasa,3,THAMMINENI SEETHARAM,Yuvajana Sramika Rythu Congress Party,76801,0,76801,51.85
Andhra Pradesh,Amadalavalasa,4,BODDEPALLI SATYAVATHI,Indian National Congress,969,0,969,0.65
Andhra Pradesh,Amadalavalasa,5,PEDADA RAMAMOHANA RAO,Janasena Party,3193,0,3193,2.16
Andhra Pradesh,Amadalavalasa,6,SATEESHKUMAR TULUGU,Independent,380,0,380,0.26
Andhra Pradesh,Amadalavalasa,7,NOTA,None of the Above,2651,0,2651,1.79
Andhra Pradesh,Palakonda  (ST),1,JAYAKRISHNA NIMMAKA,Telugu Desam,53622,452,54074,39.55
Andhra Pradesh,Palakonda  (ST),2,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,70778,1276,72054,52.7
Andhra Pradesh,Palakonda  (ST),3,DVG SANKARA RAO,Communist Party of India,3283,60,3343,2.45
Andhra Pradesh,Palakonda  (ST),4,SUNEETHA THADANGI,Bharatiya Janata Party,1121,48,1169,0.86
Andhra Pradesh,Palakonda  (ST),5,H. PRASAD RAO,Indian National Congress,994,7,1001,0.73
Andhra Pradesh,Palakonda  (ST),6,ARIKA KRISHNA RAO,Independent,786,5,791,0.58
Andhra Pradesh,Palakonda  (ST),7,GANGAMMA SAVARA,Independent,730,2,732,0.54
Andhra Pradesh,Palakonda  (ST),8,NOTA,None of the Above,3544,4,3548,2.6
Andhra Pradesh,Rajam (SC),1,KAMBALA JOGULU,Yuvajana Sramika Rythu Congress Party,80478,0,80478,51.35
Andhra Pradesh,Rajam (SC),2,KAMBALA RAJAVARDHANA,Indian National Congress,2136,0,2136,1.36
Andhra Pradesh,Rajam (SC),3,KONDRU MURALI MOHAN,Telugu Desam,64479,0,64479,41.14
Andhra Pradesh,Rajam (SC),4,CHAITANYA KUMAR MANNENA,Bharatiya Janata Party,901,0,901,0.57
Andhra Pradesh,Rajam (SC),5,MANNENA RAMESH,Praja Shanthi Party,494,0,494,0.32
Andhra Pradesh,Rajam (SC),6,MUTCHA SRINIVASA RAO,Janasena Party,4763,0,4763,3.04
Andhra Pradesh,Rajam (SC),7,NOTA,None of the Above,3481,0,3481,2.22
Andhra Pradesh,Kurupam,1,AVINASH KUMAR KOLAKA,Communist Party of India  (Marxist),8528,0,8528,6.03
Andhra Pradesh,Kurupam,2,NIMMAKA. JAYARAJU.,Bharatiya Janata Party,4127,0,4127,2.92
Andhra Pradesh,Kurupam,3,NIMMAKA SIMHACHALAM,Indian National Congress,2186,0,2186,1.55
Andhra Pradesh,Kurupam,4,PUSHPASREEVANI . PAMULA,Yuvajana Sramika Rythu Congress Party,73505,0,73505,51.99
Andhra Pradesh,Kurupam,5,VEERA VARA THODRAMAL NARA SIMHA PRIYA THATRAJ,Telugu Desam,47275,0,47275,33.44
Andhra Pradesh,Kurupam,6,NIMMAKA VASUDEVARAO,Independent,1253,0,1253,0.89
Andhra Pradesh,Kurupam,7,NOTA,None of the Above,4519,0,4519,3.2
Andhra Pradesh,Narasannapeta,1,Dola Udayabhaskara Rao,Indian National Congress,5235,0,5235,3.16
Andhra Pradesh,Narasannapeta,2,DHARMANA KRISHNA DAS,Yuvajana Sramika Rythu Congress Party,85622,0,85622,51.75
Andhra Pradesh,Narasannapeta,3,Baggu Ramana Murthy,Telugu Desam,66597,0,66597,40.25
Andhra Pradesh,Narasannapeta,4,Reddi Bhagya Lakshmi,Bharatiya Janata Party,758,0,758,0.46
Andhra Pradesh,Narasannapeta,5,Dandupati Koteshwar Rao,Jana Jagruti Party,334,0,334,0.2
Andhra Pradesh,Narasannapeta,6,Metta Vaikunta Rao,Janasena Party,2373,0,2373,1.43
Andhra Pradesh,Narasannapeta,7,Naidugari Rajasekhar,Independent,255,0,255,0.15
Andhra Pradesh,Srikakulam,1,GUNDA LAKSHMI DEVI,Telugu Desam,77575,0,77575,44.43
Andhra Pradesh,Srikakulam,2,CHALLA VENKATESWARA RAO,Bharatiya Janata Party,1260,0,1260,0.72
Andhra Pradesh,Srikakulam,3,CHOWDARI SATISH,Indian National Congress,1800,0,1800,1.03
Andhra Pradesh,Srikakulam,4,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,82388,0,82388,47.18
Andhra Pradesh,Srikakulam,5,KORADA SARVESWARA RAO,Janasena Party,7440,0,7440,4.26
Andhra Pradesh,Srikakulam,6,MAHESH A,Pyramid Party of India,261,0,261,0.15
Andhra Pradesh,Srikakulam,7,RAGOLU NAGA SIVA,Jana Jagruti Party,303,0,303,0.17
Andhra Pradesh,Srikakulam,8,MYLAPILLI TEJU,Independent,528,0,528,0.3
Andhra Pradesh,Srikakulam,9,NOTA,None of the Above,3063,0,3063,1.75
Andhra Pradesh,Palasa,1,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,75061,0,75061,50.79
Andhra Pradesh,Palasa,2,KORRAYI BALAKRISHNA,Bharatiya Janata Party,1348,0,1348,0.91
Andhra Pradesh,Palasa,3,GOUTHU SIREESHA,Telugu Desam,59505,0,59505,40.26
Andhra Pradesh,Palasa,4,MAJJI SARADA,Indian National Congress,1224,0,1224,0.83
Andhra Pradesh,Palasa,5,KAMESWARA RAO POTHANAPALLI,Communist Party of India  (Marxist-Leninist)  (Liberation),365,0,365,0.25
Andhra Pradesh,Palasa,6,KOTHA PURNACHANDRA RAO,Janasena Party,5944,0,5944,4.02
Andhra Pradesh,Palasa,7,DUNNA VASUDEVU,Independent,631,0,631,0.43
Andhra Pradesh,Palasa,8,MANOJ NALANAGULA,Independent,388,0,388,0.26
Andhra Pradesh,Etcherla,1,Kalavenkata Rao Kimidi,Telugu Desam,80162,0,80162,41.5
Andhra Pradesh,Etcherla,2,Kottakotla Simhadri Naidu,Indian National Congress,2119,0,2119,1.1
Andhra Pradesh,Etcherla,3,Gorle. Kiran Kumar,Yuvajana Sramika Rythu Congress Party,98495,0,98495,50.99
Andhra Pradesh,Etcherla,4,Rokkam. Suryaprakash Rao,Bharatiya Janata Party,980,0,980,0.51
Andhra Pradesh,Etcherla,5,Kari. Siva Rao,Pyramid Party of India,193,0,193,0.1
Andhra Pradesh,Etcherla,6,Badana. Venkata Janardhana Rao,Janasena Party,4950,0,4950,2.56
Andhra Pradesh,Etcherla,7,Ananth Mahanthi,Independent,269,0,269,0.14
Andhra Pradesh,Etcherla,8,Mahanthi. Satyanarayana.,Independent,778,0,778,0.4
Andhra Pradesh,Etcherla,9,Mudili Venkata Ramana,Independent,634,0,634,0.33
Andhra Pradesh,Narasannapeta,8,Bheri Venkata Ramana,Independent,339,0,339,0.2
Andhra Pradesh,Narasannapeta,9,Satya Tadi,Independent,451,0,451,0.27
Andhra Pradesh,Narasannapeta,10,NOTA,None of the Above,3485,0,3485,2.11
Andhra Pradesh,Pathapatnam,1,KALAMATA VENKATA RAMANA MURTHY,Telugu Desam,35646,0,35646,39.81
Andhra Pradesh,Pathapatnam,2,BANNA RAMU,Indian National Congress,1014,0,1014,1.13
Andhra Pradesh,Pathapatnam,3,RAGHAVA RAO SALANA,Bharatiya Janata Party,886,0,886,0.99
Andhra Pradesh,Pathapatnam,4,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,44964,0,44964,50.21
Andhra Pradesh,Pathapatnam,5,KANTUBHUKTA BHASKARA RAO,Andhra Chaitanya Party,324,0,324,0.36
Andhra Pradesh,Pathapatnam,6,GEDELA GYANA SAGAR,Janasena Party,3455,0,3455,3.86
Andhra Pradesh,Pathapatnam,7,BHASKARARAO BODDEPALLI,Independent,219,0,219,0.24
Andhra Pradesh,Pathapatnam,8,MULLETI SRINIVAS ACHARI,Independent,327,0,327,0.37
Andhra Pradesh,Gajapathinagaram,1,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,92402,0,92402,54.05
Andhra Pradesh,Gajapathinagaram,2,APPALA NAIDU KONDAPALLI,Telugu Desam,65859,0,65859,38.53
Andhra Pradesh,Gajapathinagaram,3,JAGAN MOHAN RAO PEDDINTI,Bharatiya Janata Party,1229,0,1229,0.72
Andhra Pradesh,Gajapathinagaram,4,BOBBILI SRINU,Indian National Congress,1216,0,1216,0.71
Andhra Pradesh,Gajapathinagaram,5,KANTUBUKTHA SUNITHA,Andhra Chaitanya Party,293,0,293,0.17
Andhra Pradesh,Gajapathinagaram,6,GANIVADA PRASANNAKUMAR,Jana Jagruti Party,210,0,210,0.12
Andhra Pradesh,Gajapathinagaram,7,RAJEEV KUMAR TALACHUTLA,Janasena Party,3869,0,3869,2.26
Andhra Pradesh,Gajapathinagaram,8,VALLURI GAYATHRI,Pyramid Party of India,307,0,307,0.18
Andhra Pradesh,Palasa,9,MAMIDI PRASAD,Independent,320,0,320,0.22
Andhra Pradesh,Palasa,10,NOTA,None of the Above,3015,0,3015,2.04
Andhra Pradesh,Tekkali,1,ATCHANNAIDU KINJARAPU,Telugu Desam,86626,0,86626,49.81
Andhra Pradesh,Tekkali,2,Chintada Dileep Kumar,Indian National Congress,1706,0,1706,0.98
Andhra Pradesh,Tekkali,3,PERADA TILAK,Yuvajana Sramika Rythu Congress Party,77769,0,77769,44.72
Andhra Pradesh,Tekkali,4,HANUMANTHU UDAY BHASKAR,Bharatiya Janata Party,773,0,773,0.44
Andhra Pradesh,Tekkali,5,Kaniti Kiran Kumar,Janasena Party,2710,0,2710,1.56
Andhra Pradesh,Tekkali,6,Chandrasekhara Patnaik,All India Forward Bloc,213,0,213,0.12
Andhra Pradesh,Tekkali,7,Gutla Kanchana,Independent,567,0,567,0.33
Andhra Pradesh,Tekkali,8,Ramu Geddevalasa,Independent,613,0,613,0.35
Andhra Pradesh,Tekkali,9,NOTA,None of the Above,2929,0,2929,1.68
Andhra Pradesh,Bobbili,1,DWARAPUREDDI RAMA MOHANA RAO,Bharatiya Janata Party,3080,0,3080,1.78
Andhra Pradesh,Bobbili,2,Dr. NARAYANA RAO VENGALA,Indian National Congress,2142,0,2142,1.24
Andhra Pradesh,Bobbili,3,VENKATA SUJAY KRISHNA RANGA RAO RAVU,Telugu Desam,75842,0,75842,43.94
Andhra Pradesh,Bobbili,4,SAMBANGI VENKATACHINA APPALA NAIDU,Yuvajana Sramika Rythu Congress Party,83885,0,83885,48.6
Andhra Pradesh,Bobbili,5,APPALASWAMY.GIRADA,Janasena Party,4173,0,4173,2.42
Andhra Pradesh,Bobbili,6,AYIKA. GNANESWARA RAO,Pyramid Party of India,362,0,362,0.21
Andhra Pradesh,Bobbili,7,NOTA,None of the Above,3125,0,3125,1.81
Andhra Pradesh,Cheepurupalle,1,ADINARAYANA JAMMU,Indian National Congress,4560,0,4560,2.76
Andhra Pradesh,Cheepurupalle,2,NAGARJUNA KIMIDI,Telugu Desam,62556,0,62556,37.92
Andhra Pradesh,Cheepurupalle,3,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,88593,0,88593,53.71
Andhra Pradesh,Cheepurupalle,4,SHANKAR LAL SHARMA DHANDU,Bharatiya Janata Party,1040,0,1040,0.63
Andhra Pradesh,Cheepurupalle,5,AMARA SREEDEVI,Pyramid Party of India,171,0,171,0.1
Andhra Pradesh,Cheepurupalle,6,MYLIPILLI SRINIVASA RAO,Janasena Party,3632,0,3632,2.2
Andhra Pradesh,Cheepurupalle,7,LANDA RAJA BABU,India Praja Bandhu Party,630,0,630,0.38
Andhra Pradesh,Cheepurupalle,8,VENKATARAO DARIMIREDDI,Jana Jagruti Party,425,0,425,0.26
Andhra Pradesh,Etcherla,10,NOTA,None of the Above,4603,0,4603,2.38
Andhra Pradesh,Parvathipuram,1,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,73626,0,73626,53.57
Andhra Pradesh,Parvathipuram,2,Bobbili Chiranjeevulu,Telugu Desam,49812,0,49812,36.24
Andhra Pradesh,Parvathipuram,3,RAMUDU HARIYALA,Indian National Congress,1952,0,1952,1.42
Andhra Pradesh,Parvathipuram,4,SURAGALA UMA MAHESWARA RAO,Bharatiya Janata Party,942,0,942,0.69
Andhra Pradesh,Parvathipuram,5,GONGADA GOWRI SANKARA RAO,Janasena Party,6474,0,6474,4.71
Andhra Pradesh,Parvathipuram,6,JAYARATNA KUMAR SAILA,Independent,705,0,705,0.51
Andhra Pradesh,Parvathipuram,7,HARIYALA PRAMEELA,Independent,457,0,457,0.33
Andhra Pradesh,Parvathipuram,8,NOTA,None of the Above,3483,0,3483,2.53
Andhra Pradesh,Pathapatnam,9,NOTA,None of the Above,2714,0,2714,3.03
Andhra Pradesh,Gajapathinagaram,9,SREENIVASA RAO KOMMINENI,Independent,934,0,934,0.55
Andhra Pradesh,Gajapathinagaram,10,NOTA,None of the Above,4632,0,4632,2.71
Andhra Pradesh,Cheepurupalle,9,NOTA,None of the Above,3349,0,3349,2.03
Andhra Pradesh,Salur,1,KONDAGORRI. UDAY KUMAR,Bharatiya Janata Party,3177,0,3177,2.17
Andhra Pradesh,Salur,2,PEEDIKA. RAJANNA DORA,Yuvajana Sramika Rythu Congress Party,75859,0,75859,51.78
Andhra Pradesh,Salur,3,R. P. BHANJ DEO,Telugu Desam,56180,0,56180,38.35
Andhra Pradesh,Salur,4,RAYALA. SUNDARA RAO,Indian National Congress,1698,0,1698,1.16
Andhra Pradesh,Salur,5,BONELA. GOVINDAMMA,Janasena Party,3124,0,3124,2.13
Andhra Pradesh,Salur,6,JANNI. SIMHACHALAM,Independent,356,0,356,0.24
Andhra Pradesh,Salur,7,M. PARAMMA,Independent,496,0,496,0.34
Andhra Pradesh,Salur,8,LACHAYYA. TELUGU,Independent,827,0,827,0.56
Andhra Pradesh,Salur,9,NOTA,None of the Above,4790,0,4790,3.27
Andhra Pradesh,Nellimarla,1,APPALA NAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,93643,0,93643,53.1
Andhra Pradesh,Nellimarla,2,NARAYANASWAMY NAIDU PATHIVADA,Telugu Desam,65861,0,65861,37.34
Andhra Pradesh,Nellimarla,3,PATHIVADA RAMANA,Bharatiya Janata Party,1089,0,1089,0.62
Andhra Pradesh,Nellimarla,4,RAMESH KUMAR SARAGADA,Indian National Congress,1388,0,1388,0.79
Andhra Pradesh,Nellimarla,5,KANTUBUKTHA SUNITHA,Andhra Chaitanya Party,221,0,221,0.13
Andhra Pradesh,Nellimarla,6,CHELIBOINA DURGARAO,Jana Jagruti Party,152,0,152,0.09
Andhra Pradesh,Nellimarla,7,NAGA MADHAVI LOKAM,Janasena Party,7575,0,7575,4.3
Andhra Pradesh,Nellimarla,8,PALLA VENU GOPALARAO,Samaanya Praja Party,491,0,491,0.28
Andhra Pradesh,Nellimarla,9,SAKINETI LALITHA KUMARI,Pyramid Party of India,153,0,153,0.09
Andhra Pradesh,Nellimarla,10,BAGGA APPARAO,Independent,155,0,155,0.09
Andhra Pradesh,Nellimarla,11,MYTHILI PRATHYUSHA BOTLAGUDURI,Independent,361,0,361,0.2
Andhra Pradesh,Nellimarla,12,REDDI SURYANARAYANA,Independent,510,0,510,0.29
Andhra Pradesh,Nellimarla,13,NOTA,None of the Above,4764,0,4764,2.7
Andhra Pradesh,Vizianagaram,1,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desam,71936,496,72432,44.05
Andhra Pradesh,Vizianagaram,2,KUSUMANCHI SUBBA RAO,Bharatiya Janata Party,1743,29,1772,1.08
Andhra Pradesh,Vizianagaram,3,VEERA BHADRA SWAMY KOLAGATLA,Yuvajana Sramika Rythu Congress Party,77545,1304,78849,47.96
Andhra Pradesh,Vizianagaram,4,SATISH KUMAR SUNKARI,Indian National Congress,1106,8,1114,0.68
Andhra Pradesh,Vizianagaram,5,ADINARAYANA CHODI,Jana Jagruti Party,116,0,116,0.07
Andhra Pradesh,Vizianagaram,6,PALAVALASA YASASVI,Janasena Party,7109,81,7190,4.37
Andhra Pradesh,Vizianagaram,7,SWARNALATHA. REJETI,India Praja Bandhu Party,166,0,166,0.1
Andhra Pradesh,Srungavarapukota,1,Kadubandi Srinivasa Rao,Yuvajana Sramika Rythu Congress Party,87974,0,87974,49.81
Andhra Pradesh,Srungavarapukota,2,Kameswara Rao Palipudi,Communist Party of India,3034,0,3034,1.72
Andhra Pradesh,Srungavarapukota,3,Kolla Lalitha Kumari,Telugu Desam,76727,0,76727,43.45
Andhra Pradesh,Srungavarapukota,4,C.P.Prasad,Bharatiya Janata Party,1594,0,1594,0.9
Andhra Pradesh,Srungavarapukota,5,Bogi Ramana,Indian National Congress,1279,0,1279,0.72
Andhra Pradesh,Srungavarapukota,6,Kalla Srinivasa Rao,Pyramid Party of India,298,0,298,0.17
Andhra Pradesh,Srungavarapukota,7,Gorle Suribabu,Jana Jagruti Party,670,0,670,0.38
Andhra Pradesh,Srungavarapukota,8,Aithamsetti Srinivas,Independent,1193,0,1193,0.68
Andhra Pradesh,Bhimli,1,APPARAO KORADA,Bharatiya Janata Party,1072,0,1072,0.82
Andhra Pradesh,Bhimli,2,RAMADASU TEDDU,Indian National Congress,909,0,909,0.69
Andhra Pradesh,Bhimli,3,MUTTAMSETTI SRINIVASARAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,61946,0,61946,47.21
Andhra Pradesh,Bhimli,4,SABBAM HARI,Telugu Desam,51843,0,51843,39.51
Andhra Pradesh,Bhimli,5,K.ATCHIM NAIDU,Pyramid Party of India,498,0,498,0.38
Andhra Pradesh,Bhimli,6,GANDIKOTA RAJESH,Shivsena,535,0,535,0.41
Andhra Pradesh,Bhimli,7,NAGA SANDEEP PANCHAKARLA,Janasena Party,10381,0,10381,7.91
Andhra Pradesh,Bhimli,8,D.PRABHA GOUD,Jana Jagruti Party,369,0,369,0.28
Andhra Pradesh,Bhimli,9,KUNA. BABURAO,Independent,339,0,339,0.26
Andhra Pradesh,Vizianagaram,8,APPALARAMU MANDAPAKA,Independent,354,0,354,0.22
Andhra Pradesh,Vizianagaram,9,BHESETTY APPARAO BABJI,Independent,621,9,630,0.38
Andhra Pradesh,Vizianagaram,10,NOTA,None of the Above,1787,10,1797,1.09
Andhra Pradesh,Srungavarapukota,9,Bevara Venkata Lakshmi,Independent,309,0,309,0.17
Andhra Pradesh,Srungavarapukota,10,NOTA,None of the Above,3526,0,3526,2
Andhra Pradesh,Bhimli,10,BANKA VENKATA APPARAO,Independent,503,0,503,0.38
Andhra Pradesh,Bhimli,11,NOTA,None of the Above,2829,0,2829,2.16
Andhra Pradesh,Gajuwaka,1,GOLLAKOTA VENKATA SUBBA RAO,Indian National Congress,1441,0,1441,0.76
Andhra Pradesh,Gajuwaka,2,NAGIREDDY TIPPALA,Yuvajana Sramika Rythu Congress Party,72413,0,72413,38.12
Andhra Pradesh,Gajuwaka,3,PALLA SRINIVASA RAO,Telugu Desam,54839,0,54839,28.87
Andhra Pradesh,Gajuwaka,4,PULUSU JANARDHANA RAO,Bharatiya Janata Party,2637,0,2637,1.39
Andhra Pradesh,Gajuwaka,5,T. APPALA SWAMY,Republican Party of India (A),386,0,386,0.2
Andhra Pradesh,Gajuwaka,6,KEERANMAYI.B,Pyramid Party of India,219,0,219,0.12
Andhra Pradesh,Gajuwaka,7,KOSURI JANARDHANA RAO,None of the Above,595,0,595,0.31
Andhra Pradesh,Gajuwaka,8,PARAVADA ESWARA RAO,Jana Jagruti Party,378,0,378,0.2
Andhra Pradesh,Visakhapatnam East,1,AKKARAMANI VIJAYA NIRMALA,Yuvajana Sramika Rythu Congress Party,45538,0,45538,33.97
Andhra Pradesh,Visakhapatnam East,2,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desam,68121,0,68121,50.81
Andhra Pradesh,Visakhapatnam East,3,VAJJIPARTHI SRINIVASA RAO,Indian National Congress,1376,0,1376,1.03
Andhra Pradesh,Visakhapatnam East,4,SUHASINI KOMARAGIRI,Bharatiya Janata Party,2268,0,2268,1.69
Andhra Pradesh,Visakhapatnam East,5,KANTHARAO BUTHADA,Mundadugu Praja Party,173,0,173,0.13
Andhra Pradesh,Visakhapatnam East,6,TATARAO KONA,Janasena Party,13876,0,13876,10.35
Andhra Pradesh,Visakhapatnam East,7,BODDETI CHAYA LAKSHMI,Indian Labour Party (Ambedkar Phule),167,0,167,0.12
Andhra Pradesh,Visakhapatnam East,8,VENKATA SURYA LALITHA SRIDEVI RALLAPALLI,Samaanya Praja Party,283,0,283,0.21
Andhra Pradesh,Visakhapatnam  North,1,KAMMILA KANNAPARAJU (K.K. RAJU),Yuvajana Sramika Rythu Congress Party,49435,0,49435,36.63
Andhra Pradesh,Visakhapatnam  North,2,GANTA SRINIVASA RAO,Telugu Desam,51157,0,51157,37.91
Andhra Pradesh,Visakhapatnam  North,3,GOMPA GOVINDA RAJU,Indian National Congress,1527,0,1527,1.13
Andhra Pradesh,Visakhapatnam  North,4,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Party,14985,0,14985,11.1
Andhra Pradesh,Visakhapatnam  North,5,ADI BABU KARRI,Samaanya Praja Party,496,0,496,0.37
Andhra Pradesh,Visakhapatnam  North,6,GRANDHA SATHEESH KUMAR,Yekikrutha Sankshema Rashtriya Praja Party,89,0,89,0.07
Andhra Pradesh,Visakhapatnam  North,7,NAKKA NAMMI GRACE,Mundadugu Praja Party,181,0,181,0.13
Andhra Pradesh,Visakhapatnam  West,1,JAMISETTI VENKATA SATYANARAYANA MURTHY,Communist Party of India,4697,0,4697,4.88
Andhra Pradesh,Visakhapatnam  West,2,GANA VENKATA REDDY NAIDU PETHAKAMSETTI (GANA BABU),Telugu Desam,49442,0,49442,51.34
Andhra Pradesh,Visakhapatnam  West,3,BHAGAT PIRIDI,Indian National Congress,1261,0,1261,1.31
Andhra Pradesh,Visakhapatnam  West,4,BUDDA CHANDRA SEKHAR,Bharatiya Janata Party,2284,0,2284,2.37
Andhra Pradesh,Visakhapatnam  West,5,VIJAY PRASAD MALLA,Yuvajana Sramika Rythu Congress Party,34931,0,34931,36.27
Andhra Pradesh,Visakhapatnam  West,6,YENNETI RAMU,India Praja Bandhu Party,240,0,240,0.25
Andhra Pradesh,Visakhapatnam  West,7,KOTA SURYA SANKARA RAO,Marxist Communist Party of India (United),213,0,213,0.22
Andhra Pradesh,Visakhapatnam  West,8,VEERA VENKATA SATYANARAYANA MURTHY PEYYALA,Republican Party of India,111,0,111,0.12
Andhra Pradesh,Visakhapatnam  West,9,PEDIREDLA NANAJI,Independent,156,0,156,0.16
Andhra Pradesh,Visakhapatnam South,1,KOPPALA RAM KUMAR,Bharatiya Janata Party,2389,0,2389,1.91
Andhra Pradesh,Visakhapatnam South,2,GANESH KUMAR VASUPALLI,Telugu Desam,52026,0,52026,41.55
Andhra Pradesh,Visakhapatnam South,3,DRONAMRAJU SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,48133,0,48133,38.45
Andhra Pradesh,Visakhapatnam South,4,HYDER ALI SINKA,Indian National Congress,1873,0,1873,1.5
Andhra Pradesh,Visakhapatnam South,5,KOTHAPALLI GEETHA,Jana Jagruti Party,199,0,199,0.16
Andhra Pradesh,Visakhapatnam South,6,GIRIDHAR GAMPALA,Janasena Party,18087,0,18087,14.45
Andhra Pradesh,Visakhapatnam South,7,DAGGULURI VENKATA RAMANA,Samaanya Praja Party,383,0,383,0.31
Andhra Pradesh,Visakhapatnam South,8,BODDETI JAYA VENUGOPAL,Pyramid Party of India,93,0,93,0.07
Andhra Pradesh,Visakhapatnam South,9,Kasarapu Satyanarayana,Independent,72,0,72,0.06
Andhra Pradesh,Gajuwaka,9,PAWAN KALYAN KONIDALA,Janasena Party,54332,0,54332,28.6
Andhra Pradesh,Gajuwaka,10,PAVANI PANTAGOLUSULA,Mundadugu Praja Party,215,0,215,0.11
Andhra Pradesh,Gajuwaka,11,GATTIM JYOTHYSWAR RAO,Independent,261,0,261,0.14
Andhra Pradesh,Gajuwaka,12,SATISH D. V.,Independent,561,0,561,0.3
Andhra Pradesh,Gajuwaka,13,NOTA,None of the Above,1684,0,1684,0.89
Andhra Pradesh,Visakhapatnam East,9,SIRRA ISSAKU,Andhra Chaitanya Party,88,0,88,0.07
Andhra Pradesh,Visakhapatnam East,10,KONA CHINNARAO,Independent,146,0,146,0.11
Andhra Pradesh,Visakhapatnam East,11,GAMPALA SESHARATNAM,Independent,87,0,87,0.06
Andhra Pradesh,Visakhapatnam East,12,A CHANDULAL JASTI,Independent,123,0,123,0.09
Andhra Pradesh,Visakhapatnam East,13,MATHE SURESH,Independent,181,0,181,0.14
Andhra Pradesh,Visakhapatnam East,14,MAANAV,Independent,150,0,150,0.11
Andhra Pradesh,Visakhapatnam East,15,SHIVA RAMAKRISHNA ANAGANI,Independent,184,0,184,0.14
Andhra Pradesh,Visakhapatnam East,16,NOTA,None of the Above,1303,0,1303,0.97
Andhra Pradesh,Visakhapatnam  North,8,PASUPULETI USHA KIRAN,Janasena Party,14684,0,14684,10.88
Andhra Pradesh,Visakhapatnam  North,9,BANNA RAMESH,Dalita Bahujana Party,250,0,250,0.19
Andhra Pradesh,Visakhapatnam  North,10,SRINIVAS ADITYA .D,Pyramid Party of India,93,0,93,0.07
Andhra Pradesh,Visakhapatnam  North,11,APPALARAJU NAMMI,Independent,69,0,69,0.05
Andhra Pradesh,Visakhapatnam  North,12,BORRA RAMESH,Independent,123,0,123,0.09
Andhra Pradesh,Visakhapatnam  North,13,VADDI HARI GANESH,Independent,155,0,155,0.11
Andhra Pradesh,Visakhapatnam  North,14,VINOD KUMAR SINGURU,Independent,112,0,112,0.08
Andhra Pradesh,Visakhapatnam  North,15,SREENU SEERAPU,Independent,166,0,166,0.12
Andhra Pradesh,Visakhapatnam  North,16,SONDI KRISHNA,Independent,333,0,333,0.25
Andhra Pradesh,Visakhapatnam  North,17,NOTA,None of the Above,1099,0,1099,0.81
Andhra Pradesh,Visakhapatnam  West,10,MAMIDI RAMAKRISHNA,Independent,106,0,106,0.11
Andhra Pradesh,Visakhapatnam  West,11,RUPAN NUTAN VINOD KUMAR PYDIPATI,Independent,1484,0,1484,1.54
Andhra Pradesh,Visakhapatnam  West,12,SIGILIPALLI PAPARAO,Independent,254,0,254,0.26
Andhra Pradesh,Visakhapatnam  West,13,NOTA,None of the Above,1123,0,1123,1.17
Andhra Pradesh,V.Madugula,1,GAVIREDDI RAMANAIDU,Telugu Desam,59239,0,59239,40.64
Andhra Pradesh,V.Madugula,2,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,74089,0,74089,50.82
Andhra Pradesh,V.Madugula,3,BODDU SRINIVASA,Indian National Congress,1580,0,1580,1.08
Andhra Pradesh,V.Madugula,4,MANDALA SANTHOSHI SUBHA LAKSHMI,Bharatiya Janata Party,725,0,725,0.5
