State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Pct of Votes
Andhra Pradesh,Puttaparthi,2,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,96159,0,96159,56.74
Andhra Pradesh,Puttaparthi,3,PALLE.RAGHUNATHA REDDY,Telugu Desam,65321,0,65321,38.54
Andhra Pradesh,Puttaparthi,4,HANUMANTHA REDDY YALAPALA,Bharatiya Janata Party,1188,0,1188,0.7
Andhra Pradesh,Puttaparthi,5,PATTI CHALAPATHI,Janasena Party,2264,0,2264,1.34
Andhra Pradesh,Puttaparthi,6,POTHURU ARUNA,Pyramid Party of India,74,0,74,0.04
Andhra Pradesh,Puttaparthi,7,AMPAVATHINI GOVINDU,Independent,92,0,92,0.05
Andhra Pradesh,Puttaparthi,8,AMMINENI YASODA,Independent,288,0,288,0.17
Andhra Pradesh,Puttaparthi,9,GODDENDLA VENKATESH,Independent,159,0,159,0.09
Andhra Pradesh,Dharmavaram,1,KETHIREDDY VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,91359,0,91359,50.88
Andhra Pradesh,Dharmavaram,2,GONUGUNTLA SURYANARAYANA,Telugu Desam,77595,0,77595,43.22
Andhra Pradesh,Dharmavaram,3,RANGANA ASWARTHA NARAYANA,Indian National Congress,1419,0,1419,0.79
Andhra Pradesh,Dharmavaram,4,E SUDARSHAN REDDY,Bharatiya Janata Party,487,0,487,0.27
Andhra Pradesh,Dharmavaram,5,GADDAM RAJAGOPAL,All India Forward Bloc,237,0,237,0.13
Andhra Pradesh,Dharmavaram,6,CHILAKAM MADHUSUDHANA REDDY,Janasena Party,5675,0,5675,3.16
Andhra Pradesh,Dharmavaram,7,PETA RAJESWARI,Pyramid Party of India,115,0,115,0.06
Andhra Pradesh,Dharmavaram,8,G.KESAVAIAH,Independent,65,0,65,0.04
Andhra Pradesh,Dharmavaram,9,S.NARASIMHA REDDY,Independent,63,0,63,0.04
Andhra Pradesh,Kadiri,1,KANDIKUNTA VENKATA PRASAD,Telugu Desam,74343,0,74343,39.54
Andhra Pradesh,Kadiri,2,S.V. NAGENDRA PRASAD,Bharatiya Janata Party,1340,0,1340,0.71
Andhra Pradesh,Kadiri,3,PATHAN KHASEEM KHAN,Indian National Congress,2271,0,2271,1.21
Andhra Pradesh,Kadiri,4,P.V. SIDDA REDDY,Yuvajana Sramika Rythu Congress Party,101406,0,101406,53.94
Andhra Pradesh,Kadiri,5,BHYRAVA PRASAD PERUGU CHINNA,Janasena Party,2362,0,2362,1.26
Andhra Pradesh,Kadiri,6,B. RAVISANKAR,Pyramid Party of India,166,0,166,0.09
Andhra Pradesh,Kadiri,7,K. VAJRA BHASKARAREDDY,All India Forward Bloc,3478,0,3478,1.85
Andhra Pradesh,Kadiri,8,CHANNKA SIDDAREDDY,Praja Shanthi Party,217,0,217,0.12
Andhra Pradesh,Puttaparthi,10,D.SHYAM SUNDHAR REDDY,Independent,104,0,104,0.06
Andhra Pradesh,Puttaparthi,11,POOLA SREENATH REDDY,Independent,132,0,132,0.08
Andhra Pradesh,Puttaparthi,12,A.RAGHU NATHA REDDY,Independent,249,0,249,0.15
Andhra Pradesh,Puttaparthi,13,B.RAGHUNATHAREDDY,Independent,274,0,274,0.16
Andhra Pradesh,Puttaparthi,14,K SREERAM NAIK,Independent,357,0,357,0.21
Andhra Pradesh,Puttaparthi,15,NOTA,None of the Above,1308,0,1308,0.77
Andhra Pradesh,Dharmavaram,10,N RAVEENDRA REDDY,Independent,265,0,265,0.15
Andhra Pradesh,Dharmavaram,11,MANJULA SREENIVASULU,Independent,74,0,74,0.04
Andhra Pradesh,Dharmavaram,12,P VENKATARAMI REDDY,Independent,164,0,164,0.09
Andhra Pradesh,Dharmavaram,13,P VENKATARAMI REDDY,Independent,99,0,99,0.06
Andhra Pradesh,Dharmavaram,14,K.SUDHAKAR REDDY,Independent,129,0,129,0.07
Andhra Pradesh,Dharmavaram,15,J.SURYA NARAYANA,Independent,312,0,312,0.17
Andhra Pradesh,Dharmavaram,16,NOTA,None of the Above,1487,0,1487,0.83
Andhra Pradesh,Kadiri,9,GODDENDLA VENKATESH,Independent,227,0,227,0.12
Andhra Pradesh,Kadiri,10,D. RAJA SEKHAR REDDY,Independent,296,0,296,0.16
Andhra Pradesh,Kadiri,11,MARUVA NAGAMALLU,Independent,354,0,354,0.19
Andhra Pradesh,Kadiri,12,NOTA,None of the Above,1553,0,1553,0.83
Andhra Pradesh,Thamballapalle,1,GULLOLA SHANKAR,Telugu Desam,49037,0,49037,32.54
Andhra Pradesh,Thamballapalle,2,M.N. CHANDRA SEKHAR REDDY,Indian National Congress,2793,0,2793,1.85
Andhra Pradesh,Thamballapalle,3,PEDDIREDDY DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,90186,0,90186,59.84
Andhra Pradesh,Thamballapalle,4,K GANGARAJU,Indian Labour Party (Ambedkar Phule),459,0,459,0.3
Andhra Pradesh,Thamballapalle,5,MALIPEDDI PRABHAKAR REDDY,Janasena Party,4375,0,4375,2.9
Andhra Pradesh,Thamballapalle,6,C VENKATARAMANA REDDY,Pyramid Party of India,106,0,106,0.07
Andhra Pradesh,Thamballapalle,7,P VENKATA REDDY,Janata Dal  (Secular),189,0,189,0.13
Andhra Pradesh,Thamballapalle,8,SEETANNAGARI REDDEPPA,Indian Union Muslim League,113,0,113,0.07
Andhra Pradesh,Thamballapalle,9,V Ashraf,Independent,142,0,142,0.09
Andhra Pradesh,Thamballapalle,10,NAGURI VISWANATHA REDDY,Independent,284,0,284,0.19
Andhra Pradesh,Thamballapalle,11,MUTRA MADHAVA REDDY,Independent,216,0,216,0.14
Andhra Pradesh,Thamballapalle,12,MUSALIKUNTA MASTHAN REDDY,Independent,306,0,306,0.2
Andhra Pradesh,Thamballapalle,13,NOTA,None of the Above,2503,0,2503,1.66
Andhra Pradesh,Pileru,1,KHATIB SYED AGHA MOHIUDDIN,Indian National Congress,3824,0,3824,2.4
Andhra Pradesh,Pileru,2,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,78297,0,78297,49.15
Andhra Pradesh,Pileru,3,NALLARI KISHAN KUMAR REDDY,Telugu Desam,70479,0,70479,44.24
Andhra Pradesh,Pileru,4,PULI REDDY NARENDRA KUMAR REDDY,Bharatiya Janata Party,903,0,903,0.57
Andhra Pradesh,Pileru,5,CHINTHALA RAMI REDDY,Praja Shanthi Party,212,0,212,0.13
Andhra Pradesh,Pileru,6,B DINESH,Janasena Party,2071,0,2071,1.3
Andhra Pradesh,Pileru,7,POOLA ANWAR HUSSAIN,Indian Union Muslim League,180,0,180,0.11
Andhra Pradesh,Pileru,8,BATHALA VINOD KUMAR,Dalita Bahujana Party,182,0,182,0.11
Andhra Pradesh,Pileru,9,APRALA SUDHAKARA,Independent,233,0,233,0.15
Andhra Pradesh,Madanapalle,1,Dommalapati Ramesh,Telugu Desam,61810,608,62418,34.71
Andhra Pradesh,Madanapalle,2,Mohammed Nawaz Basha,Yuvajana Sramika Rythu Congress Party,91163,903,92066,51.2
Andhra Pradesh,Madanapalle,3,Anand Bandi,Bharatiya Janata Party,1865,19,1884,1.05
Andhra Pradesh,Madanapalle,4,D Mohana Rami Reddy,Indian National Congress,2693,4,2697,1.5
Andhra Pradesh,Madanapalle,5,Shaik Khajapeer,Independent,285,2,287,0.16
Andhra Pradesh,Madanapalle,6,Swathi Gangarapu,Janasena Party,14513,88,14601,8.12
Andhra Pradesh,Madanapalle,7,Karamalaputty Naga Bhushanam,Pyramid Party of India,121,0,121,0.07
Andhra Pradesh,Madanapalle,8,Varikooti Manjula,National Women's Party,153,0,153,0.09
Andhra Pradesh,Pileru,10,GADA PUSHPALATHA,Independent,158,0,158,0.1
Andhra Pradesh,Pileru,11,B PADMAJA,Independent,125,0,125,0.08
Andhra Pradesh,Pileru,12,A MOSES KIRAN KUMAR,Independent,175,0,175,0.11
Andhra Pradesh,Pileru,13,MANGIRA RAMACHANDRA,Independent,229,0,229,0.14
Andhra Pradesh,Pileru,14,Y RAMANJULAMMA,Independent,282,0,282,0.18
Andhra Pradesh,Pileru,15,NOTA,None of the Above,1956,0,1956,1.23
Andhra Pradesh,Madanapalle,9,Sabeera Shaik,Indian Union Muslim League,117,0,117,0.07
Andhra Pradesh,Madanapalle,10,Nagireddigari Jaganatha Reddy,Independent,175,0,175,0.1
Andhra Pradesh,Madanapalle,11,Ginka Ananda Kumar,Independent,138,0,138,0.08
Andhra Pradesh,Madanapalle,12,P Venkata Siva Raj Kumar,Independent,233,0,233,0.13
Andhra Pradesh,Madanapalle,13,B Rajashekhar Naick,Independent,155,0,155,0.09
Andhra Pradesh,Madanapalle,14,B Ramesh Babu,Independent,264,0,264,0.15
Andhra Pradesh,Madanapalle,15,Modem Manjunatha,Independent,250,0,250,0.14
Andhra Pradesh,Madanapalle,16,J Rajesh Kumar,Independent,415,0,415,0.23
Andhra Pradesh,Madanapalle,17,R Ravindra Naidu,Independent,1118,0,1118,0.62
Andhra Pradesh,Madanapalle,18,Baddila Sriramulu,Independent,933,2,935,0.52
Andhra Pradesh,Madanapalle,19,Shaik G Nawaj Hussain,Independent,383,0,383,0.21
Andhra Pradesh,Madanapalle,20,NOTA,None of the Above,1410,10,1420,0.79
Andhra Pradesh,Chandragiri,1,Dr.CHEVIREDDY BHASKAR REDDY,Yuvajana Sramika Rythu Congress Party,125005,0,125005,55.77
Andhra Pradesh,Chandragiri,2,PULLIVARTHI VENKATA MANI PRASAD,Telugu Desam,84921,0,84921,37.89
Andhra Pradesh,Chandragiri,3,THAKKILAPATI MADHU BABU,Bharatiya Janata Party,1126,0,1126,0.5
Andhra Pradesh,Chandragiri,4,K.SRINIVASULU,Indian National Congress,1539,0,1539,0.69
Andhra Pradesh,Chandragiri,5,ANDHALAPALLI KIRAN KUMAR,Dalita Bahujana Party,633,0,633,0.28
Andhra Pradesh,Chandragiri,6,GURRAM KONDA FARUK,Mana Desam Party,159,0,159,0.07
Andhra Pradesh,Chandragiri,7,DEGALA BHARATH KUMAR,Janam Manam Party,140,0,140,0.06
Andhra Pradesh,Punganur,1,N.ANESHA REDDY,Telugu Desam,63561,315,63876,32.61
Andhra Pradesh,Punganur,2,GANNA MADAN MOHAN BABU,Bharatiya Janata Party,1450,22,1472,0.75
Andhra Pradesh,Punganur,3,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,106271,1160,107431,54.85
Andhra Pradesh,Punganur,4,S.SAFIYA,Indian National Congress,2001,6,2007,1.02
Andhra Pradesh,Punganur,5,ADIVIPALLI KRISHNAPPA,Pyramid Party of India,259,0,259,0.13
Andhra Pradesh,Punganur,6,BODE RAMACHANDRA YADAV,Janasena Party,16314,138,16452,8.4
Andhra Pradesh,Punganur,7,G.T.NARAYANA,Independent,428,0,428,0.22
Andhra Pradesh,Punganur,8,V.PATTABI,Independent,288,0,288,0.15
Andhra Pradesh,Punganur,9,P.MUNIRATHNAM,Independent,367,1,368,0.19
Andhra Pradesh,Chandragiri,8,B RAMESH BABU,Viduthalai Chiruthaigal Katchi,174,0,174,0.08
Andhra Pradesh,Chandragiri,9,B MUNEESWAR,Jai Hindustan Party,107,0,107,0.05
Andhra Pradesh,Chandragiri,10,LALITHA BUKKAY,Navataram Party,102,0,102,0.05
Andhra Pradesh,Chandragiri,11,SURENDRA SHITTI,Janasena Party,4497,0,4497,2.01
Andhra Pradesh,Chandragiri,12,KALIMILI POORNIMA,Independent,128,0,128,0.06
Andhra Pradesh,Chandragiri,13,KONANGI ESWARAIAH,Independent,164,0,164,0.07
Andhra Pradesh,Chandragiri,14,K BHASKAR REDDY,Independent,106,0,106,0.05
Andhra Pradesh,Chandragiri,15,G NAGENDRA BABU,Independent,140,0,140,0.06
Andhra Pradesh,Chandragiri,16,PALADUGU SURESH,Independent,365,0,365,0.16
Andhra Pradesh,Chandragiri,17,Dr P.SIVA KUMAR,Independent,898,0,898,0.4
Andhra Pradesh,Chandragiri,18,MALLAMPALLI CHENGALRAYULU,Independent,431,0,431,0.19
Andhra Pradesh,Punganur,10,NOTA,None of the Above,3285,2,3287,1.68
Andhra Pradesh,Tirupati,1,K.PRAMILA,Indian National Congress,2527,3,2530,1.52
Andhra Pradesh,Tirupati,2,BHAVANI SANKAR VALLAMCHETTY,Bharatiya Janata Party,2190,8,2198,1.32
Andhra Pradesh,Tirupati,3,BHUMANA KARUNAKAR REDDY,Yuvajana Sramika Rythu Congress Party,71886,1167,73053,44.03
